text,category,plant,genus,species,plant_group,category_int
"The species is currently threatened by the hemlock woolly adelgid (Adelges tsugae), a sap-sucking bug  introduced from East Asia to the United States in 1924, and first found in the native range of eastern hemlock in the late 1960s. The adelgid has spread very rapidly in southern parts of the range once becoming established, while its expansion northward is much slower. Virtually all the hemlocks in the southern Appalachian Mountains have seen infestations of the insect within the last five to seven years, with thousands of hectares of stands dying within the last two to three years. Attempts to save representative examples on both public and private lands are on-going. A project named ""Tsuga Search"", funded by the Great Smoky Mountains National Park, is being conducted to save the largest and tallest remaining eastern hemlocks in the Park. Through Tsuga Search, hemlocks have been found with trunk volumes up to 44.8 m³ within the park, making it the largest eastern evergreen conifer, eclipsing in volume both eastern white pine (Pinus strobus) and loblolly pine (Pinus taeda). The tree is currently listed as a near threatened species in the IUCN Red List, but this is based largely on its wide distribution and because the adelgid populations have not reached the northern areas of its range.A 2009 study conducted by scientists with the U.S. Forest Service Southern Research Station suggests the hemlock woolly adelgid is killing hemlock trees faster than expected in the southern Appalachians, and rapidly altering the carbon cycle of these forests. According to Science Daily, the pest could kill most of the region's hemlock trees within the next decade. According to the study, researchers found ""hemlock woolly adelgid infestation is rapidly impacting the carbon cycle in [hemlock] tree stands,"" and ""adelgid-infested hemlock trees in the South are declining much faster than the reported 9-year decline of some infested hemlock trees in the Northeast.""

In a 2009 case study, entomologists from the U.S. Forest Service, Cornell University, and the University of Massachusetts-Amherst released 900 Laricobius nigrinus beetles into a stand of adelgid-infested hemlocks near Lansing, New York. L. nigrinus, which is native to the Pacific Northwest, naturally preys on the hemlock wooly adelgid. The particular site near Lansing was chosen because its hemlocks are only lightly infested with the woolly adelgid, and enough trees are found to sustain a long-term study. The site will be left untreated with pesticides for 10 years to study how well the L. nigrinus beetles become established; if the experiment proves successful, researchers expect the population will take two to three years to build to levels where they can be readily detected.",Threats,,Tsuga,canadensis,,19
"The species is divided into three subspecies or up to five varieties. The subspecies classification is as follows:

Populus deltoides subsp. deltoides,  eastern cottonwood is found in southeastern Canada (the south of Ontario and Quebec) and the eastern United States (throughout, west to North Dakota to Texas).
P. d. monilifera (Aiton) Eckenw., the plains cottonwood (syn. P. deltoides var. occidentalis Rydb.; P. sargentii Dode) ranges from southcentral Canada (southern Alberta, Saskatchewan, and Manitoba) to the central United States and south to northern New Mexico and Texas. It is the state tree of Wyoming.
P. d. wislizeni (S.Watson) Eckenw., the Rio Grande cottonwood (syn. P. wislizeni (S.Watson) Sarg.; P. fremontii var. wislizeni S.Watson) grows from southern Colorado south through Texas to northeastern Mexico (Chihuahua, San Luis Potosi), and west to Arizona (presence in California, listed by GRIN, is doubtful, not included in the Jepson Flora of California). (Note: Some sources mistakenly spell the epithet ""wislizenii"". Correct spelling is with one ""i"", per ICN article 60C.2.)",Population Differences,,Populus,deltoides,,12
"The species is found in scattered populations over much of the eastern United States, as far north as West Virginia, south to northern Florida, and west to Oklahoma. But it is thinly distributed over much of its native range, and is becoming rare in many areas.",Native Range,,Halesia,tetraptera,,11
"The species is grown commercially for fruit and value added products like jam. Taste of ripe fruit is prevailingly sweet, though individual bushes range in flavor and some are sour or slightly bitter. About the size of grapes, beach plums are much smaller in size when compared to the longer cultivated Asian varieties found in the supermarket, though are resilient to many North American stone fruit pests, such as black knot fungus. A number of cultivars have been selected for larger and better-flavored fruit, including Resigno, Wild Goose, ECOS, Eastham, Hancock and Squibnocket.Natali Vineyards in Goshen, New Jersey, produces a wine from beach plums. Greenhook Ginsmiths in Greenpoint, Brooklyn, New York, makes a gin flavored with beach plums.",Special Uses,,Prunus,maritima,,16
The species is highly susceptible to Dutch elm disease.,Threats,,Ulmus,serotina,,19
"The species is known to have been present during the Late Wisconsin Glacial Episode of the last glacial period, in North American latitudes defined by fossils from the Waterman Mountains in present-day Arizona.",Life History,,Juniperus,coahuilensis,,10
"The species is listed by the International Union for Conservation of Nature as least concern, and not considered globally threatened. However, one of the southernmost populations, formerly on Guadalupe Island off the Baja California Peninsula coast, was almost destroyed by feral goats in the late 19th century, with only a few plants remaining.",Conservation,,Juniperus,californica,,3
"The species is monoecious and forms imperfect flowers. Both male and female flowers are found on the current year's growth. The male flowers are long-stalked catkins, developing at the shoot base. The female flowers are in short spikes on peduncles at the end of the shoot. Flowering occurs from April to May, shortly after the leaves have started to open. Specifies of pollen production, dissemination and pollination are not known. The sweet, edible nut matures from September to October of the same year and falls between September and December. Its ellipsoidal shell is thick and hard.
Seed production starts when the trees are about 30 years old, and optimum seed-bearing age is 50 to 125 years. Good seed crops are produced every 2 to 3 years. As many as 70 liters (2 bu) can be produced by an open-grown tree. Seeds are disseminated by various methods, including squirrels and water.
The seeds of this species germinate from late April to early June. Germination is hypogeal. Burial of seeds by squirrels seems to be important, but it is not necessary for the successful establishment of seedlings.
Specific information on the vegetative reproduction of nutmeg hickory is not available. Like other hickories, it probably sprouts readily from small stumps, injured or top-killed seedlings and saplings, and from roots.  Large stumps do not readily sprout, hence the larger the stump, the more likely that it will reproduce only by root suckers.",Reproduction and Early Growth,,Carya,myristiciformis,,13
"The species is most common in the American south and eastern states. It can be found from Long Island Sound south to northern Florida, and west to southernmost Illinois, Missouri, Oklahoma, and eastern Texas. Its natural range extends into southeastern Pennsylvania and southern New Jersey. It has also historically been recorded as occurring in Lancaster, Bucks, Chester, Delaware, and Philadelphia counties, chiefly on wet sites, occasionally in drier, upland ones. Much of that area has been built over and developed since World War II, and the tree is now classified as endangered in the state.
It is most commonly found growing on lowland floodplains, often along streams, but rarely also in uplands with poor drainage, up to 400 m (1,300 ft) in altitude.",Habitat,,Quercus,phellos,,8
"The species is native to eastern North America, ranging from southeast North Dakota, east to Maine and southern Quebec, south to northernmost Florida, and west to eastern Texas, where it thrives in moist uplands, although it will also grow in dry, intermediate soils.",Habitat,,Ulmus,rubra,,8
"The species is native to southwestern Oregon and northwestern California, and grows from sea level up to 4,900 feet (1,500 m) in the valleys of the Klamath Mountains, often along streams. It fares best at the north end of its range.",Habitat,,Chamaecyparis,lawsoniana,,8
"The species is native to the Cascade Range and Pacific Coast Ranges of western Washington and Oregon, as well as the extreme northwest of California. It is a high-altitude tree, typically occurring at altitudes of 300–1,500 m (980–4,920 ft), often above 600 m (2,000 ft), and only rarely reaching the tree line.",Native Range,,Abies,procera,,11
"The species is native to the mountains of Yukon, British Columbia and western Alberta in Western Canada; and to Southeast Alaska, Washington, Oregon, Idaho, Western Montana, Wyoming, Utah, Colorado, New Mexico, Arizona, northeastern Nevada, and the Trinity Alps of the Klamath Mountains in northwestern California in the Western United States.It occurs at high altitudes, commonly found at and immediately below the tree line. It can be found at elevations of 300–900 m (980–2,950 ft) in the north of the range (rarely down to sea level in the far north), to 2,400–3,650 m (7,870–11,980 ft) in the south of the range. West of the Cascade ridge, it can be found at elevations of 1,200–2,000 m (3,900–6,600 ft), while further east (particularly in Western Montana) it can be found from 1,500 to 2,700 m (4,900 to 8,900 ft).",Native Range,,Abies,lasiocarpa,,11
"The species is native to the Pacific Northwest of North America, occurring in the Pacific Coast Ranges and the Cascade Range from the extreme southeast of Alaska, through western British Columbia, Washington and Oregon, to the extreme northwest of California. It grows from sea level to 1,500 m (4,900 ft) in the north of the range, and to 1,000–2,300 m (3,300–7,500 ft) in the south of the range.
It is always found in temperate rainforests with relatively high precipitation and cool, humid summers. Growing in dense stands, it prospers in shade and snow. Common associate trees are western hemlock in northern ranges, Douglas-fir in central areas, and California buckeye in the extreme southern area of its range. Western hemlock is equally shade tolerant, but Pacific silver fir saplings are more resilient of ground obstacles. Though its thin bark makes it susceptible to fire, the slow-growing saplings succeed less shade-tolerant species. It survives well at high elevation, but eventually succumbs to root or heart rot, in addition to diseases and insects such as Adelges piceae.",Ecology,,Abies,amabilis,,6
"The species is native to the Southwestern United States and extreme northwestern Mexico in the Baja California Peninsula and the Sonoran Desert. Within Mexico its range includes the states of Baja California Sur and Baja California, on the Gulf of California side east of the cordillera ranges, and Sonora state west of the Sierra Madre Occidental cordillera, in the south approaching the northern border of northern Sinaloa state. In the Southwestern US its range includes the Colorado Desert of southeast Southern California, a part of the Sonoran Desert, and western and southern Arizona. Olneya does not range into the higher-elevation, colder, southeast of Arizona's Sonoran Desert region, nor into the sky islands of the Madrean Sky Islands region.",Habitat,,Olneya,,,8
"The species is native to the southwestern United States, in Utah, Nevada, Arizona, western New Mexico, western Colorado, Wyoming, southern Montana, southern Idaho and eastern California. It grows at moderate altitudes of 1,300–2,600 m (4,300–8,500 ft), on dry soils, often together with Pinus monophylla.",Habitat,,Juniperus,osteosperma,,8
"The species is native to western North America, in Canada in south British Columbia and southwest Alberta, in the United States sporadically from Washington east to North Dakota, south to Arizona and also locally western Texas, and northernmost Mexico from Sonora east to Coahuila. It grows at altitudes of 500–2,700 m (1,600–8,900 ft) on dry soils, often together with other juniper species. It requires about 25 centimetres (9+7⁄8 in) of annual precipitation.",Habitat,,Juniperus,scopulorum,,8
"The species is not listed as threatened federally in the US, but is listed as ""Special Concern"" in Kentucky, ""Exploitably Vulnerable"" in New York State, and ""Threatened"" in Tennessee.The Committee on the Status of Endangered Wildlife in Canada placed the butternut on the endangered species list in Canada in 2005.Approximately 60 grafted butternut trees were planted in a seed orchard in Huntingburg, Indiana, in 2012 as part of a larger effort by the USDA Forest Service to conserve the species and to breed resistance to butternut canker disease. Forest Service staff from the Hoosier National Forest, the Eastern Region National Forest genetics program, the Northern Research Station, and the Hardwood Tree Improvement and Regeneration Center at Purdue University are involved in the project.",Conservation,,Juglans,cinerea,,3
"The species is often sympatric with Quercus agrifolia and several other oak species. It is more shade tolerant than Pacific madrone but not as much as the associated Douglas-fir, tanoak, and golden chinkapin. After forest fires, canyon live oak regenerates vigorously by basal sprouting, and the clonal diversity of this species has been shown to be high. It is typically succeeded by other species except in more extreme dry and rocky climates, being exceptionally drought tolerant.The acorns are consumed by a variety of wildlife as diverse as acorn woodpecker, California ground squirrel, dusky-footed wood rat, western harvest mouse and black-tailed deer. There seems to be little difference in food preference by wildlife among different oaks.
Extensive hybridization of Q. chrysolepis has been documented with several other sympatric oak species, probably to a greater extent than for any other Quercus species.  The ability of Q. chrysolepis to compete with other dominant trees within its range has been analyzed from the standpoint of leaf architecture and photosynthetic capability. The study results explain that, in low light environments, Q. chrysolepis out-competes species with superior leaf size and crown mass per unit volume by its greater photosynthetic efficiency and leaf lifespan.Canyon live oak gives functional habitat for many fauna by providing perching, nesting, resting, or foraging sites for numerous species of birds, and shade and cover for diverse other mammals. Young Q. chrysolepis is a readily available browse. Canyon live oak woodlands serve as excellent mountain lion habitat because of the large population of deer frequenting these areas. Many species forage on canyon live oak foliage including black-tailed jackrabbit, beaver, brush rabbit, red-backed vole, Sonoma chipmunk, cactus mouse, deer mouse, and porcupine. Pocket gophers often feed on the cambium of young canyon live oaks.
In southern California Q. chrysolepis is the food plant of a small moth, Neocrania bifasciata.",Ecology,,Quercus,chrysolepis,,6
"The species is very closely related to Abies magnifica (red fir), which replaces it farther southeast in southernmost Oregon and California, being best distinguished by the leaves having a groove along the midrib on the upper side; red fir does not show this. Red fir also tends to have the leaves less closely packed, with the shoot bark visible between the leaves, whereas the shoot is largely hidden in noble fir. Red fir cones also mostly have shorter bracts, except in A. magnifica var. shastensis (Shasta red fir); this variety hybridizes with noble fir and may itself be a hybrid between noble fir and red fir. As opposed to Shasta red fir, noble fir is shade-intolerant, leaving its lower trunk branchless.Noble fir occurs with Douglas-fir and western hemlock at middle elevations, and with Pacific silver fir and mountain hemlock at higher elevations. It occurs in cool, humid areas similar to those occupied by Pacific silver fir. While it benefits from occasional disturbances (e.g. the 1980 eruption of Mount St. Helens), it is very susceptible to fire but is usually protected by its moist environment. It is relatively resistant to damage from wind, insects or diseases. Although the roots grow slowly, it can survive in very rocky soil as long as it is moist.",Ecology,,Abies,procera,,6
"The species is widespread across much of Canada from Newfoundland and southern Labrador to British Columbia and the southern Northwest Territories. Additionally it is very common in New England and the Great Lakes region. It can also be found in the Appalachian Mountains as far south as northern Georgia and eastern Tennessee. Scattered growth of the pin cherry also occurs in the Rocky Mountains, south to Colorado as well as in the Black Hills of South Dakota.",Native Range,,Prunus,pensylvanica,,11
"The species may have had a broader range in Paleoendemic era, although some scientists say no fossil evidence of the tree has been conclusively identified. The tree is now confined, possibly due to long-term climatic changes, to a few, small locales that mimic those of the distant past.",Native Range,,Abies,bracteata,,11
"The species occurs in humid areas of the mountains of the Western United States and Western Canada such as the Sierra Nevada, the Cascade Range, the Coast Range, and the northern Rocky Mountains. It can be found in elevations of 600 to 1,800 meters (2,000 to 5,900 ft) above sea level in eastern Washington and Oregon's Blue Mountains and 1,800 to 3,100 metres (5,900 to 10,200 ft) on the western face of the Sierra Nevada as far south as the headwaters of the Kern River. The tree often occurs in forests with fir and hemlock species, especially those which are tolerant of shade. It benefits from disturbances that clear away competing species, including low fires that do not destroy all of its cone-protected seeds. It is also well adapted to poor, rocky soils.",Native Range,Western white pine,,,,11
"The species occurs in Utah, Nevada and eastern California. In California, it is restricted to the White Mountains, the Inyo Mountains, and the Panamint Range, in Mono and Inyo counties. In Nevada, it is found in most of the higher ranges of the Basin and Range from the Spring Mountains near Las Vegas north to the Ruby Mountains, and in Utah, northeast to South Tent in the Wasatch Range. Due to the inaccessibility of many of the sites that this species occupies, information on their location and abundance is incomplete, and thus is needed.  Environmental niche modelling has been used to better map the distribution of Great Basin bristlecone pine using topographic and spectral variables calculated from a geographic information system (GIS).The tree grows in large open stands, unlike the related foxtail pine, which sometimes form dense forests. Pinus longaeva trees generally do not form closed canopies, usually covering only 15-50%. Pinus longaeva shares habitats with a number of other pine species, including the ponderosa pine, the white fir and, notably, the limber pine, a similarly long-lived high-elevation species. The tree is a ""vigorous"" primary succession species, growing quickly on new open ground. It is a ""poor competitor"" in good soils, however, and the species does best in harsh terrain. Pinus longaeva is often the dominant species in high-elevation dolomite soils, where few plants can grow.

Bristlecone pines are protected in a number of areas owned by the United States federal government, such as the Ancient Bristlecone Pine Forest in the White Mountains of California and the Great Basin National Park in Nevada. These areas prohibit the cutting or gathering of wood.Clark's nutcrackers pluck P. longaeva seeds out of the opening cones. The nutcrackers use the seeds as a food resource, storing many for later use in the ground, and some of these stored seeds are not used and are able to grow into new plants.An introduced fungal disease known as white pine blister rust (Cronartium ribicola) is believed to affect some individuals. The species was placed on the IUCN Red List and listed as ""Vulnerable"", or threatened, in 1998. In 2011, however, a population survey found the population of Pinus longaeva to be stable, with no known subpopulations decreasing in size. White pine blister rust was found to have a negligible effect on the population. As a result, the species was moved to ""Least Concern"".",Ecology,,Pinus,longaeva,,6
"The species range extends from eastern Nebraska, south to Oklahoma (with an isolated population in Louisiana), east to northern Alabama and Georgia, northeast to New Hampshire, and in southeast Canada, extending as far north as the Carolinian forest zone of southern Ontario. It has a virtually disjunct (discontinuous) distribution, fairly common in New England and in the Appalachian Mountains, and also in the eastern Great Plains but rare in the Ohio Valley in between.",Native Range,,Quercus,prinoides,,11
"The species was discovered by Euro-Americans in the 1850s. The wood is light yet has great strength and rot resistance, even after long exposure to salt water. Its properties resemble those of yellow-cedar, but was historically more available in the region. On shores lacking docks, logs were transported via high-line cable directly onto ship decks. It was valued for boatbuilding. The species was important to Oregon's lumber industry until the 1950s when it was crippled by disease. It was preferred for storage battery cell separation, Venetian blinds, and other uses. Quality specimens eventually began to be shipped almost exclusively to East Asia, where it is highly valued. Large amounts have been exported to Japan where it is used in making coffins, shrines, and temples. Its lumber is known for its highly fragrant ginger aroma, caused by an oil which repulses decay and insects, including termites; this oil has been used as an insecticide. Due to the straightness of its grain, it is also one of the preferred woods for the manufacture of arrow shafts. It is also considered an acceptable, though not ideal, wood for construction of aircraft.The wood is considered more than acceptable for use in stringed instruments. Its fine grain, good strength and tonal quality are highly regarded for soundboards in guitar making.",Special Uses,,Chamaecyparis,lawsoniana,,16
The species was first described by Carl Linnaeus in 1753. Over 30 synonyms are listed in Kew's Plants of the World Online database.,Taxonomy,,Thuja,occidentalis,,18
"The species was first described by Marshall in 1785 as Prunus maritima, the ""Sea side Plumb"". A few sources cite Wangenheim as the author, though Wangenheim's publication dates to 1787, two years later than Marshall's.
A plant with rounded leaves, of which only a single specimen has ever been found in the wild, has been described as P. maritima var. gravesii (Small) G.J.Anderson, though its taxonomic status is questionable, and it may be better considered a cultivar P. maritima 'Gravesii'. The original plant, found in Connecticut, died in the wild in about 2000, but it is maintained in cultivation from rooted cuttings.",Taxonomy,,Prunus,maritima,,18
"The species was first described by Scottish botanical explorer David Douglas, who in 1830 brought its seeds back to Britain; in 1831 he described specimens he had collected along the Columbia River in the Pacific Northwest.",Taxonomy,,Abies,grandis,,18
"The species was first discovered (by European Americans) near Port Orford, Oregon, and introduced into cultivation in 1854 by collectors working for Charles Lawson FRSE of the Lawson & Son nursery in Edinburgh, Scotland, after whom it was named as Lawson Cypress by the describing botanist Andrew Murray. The United States Department of Agriculture officially calls it by the name Port Orford cedar, as do most people in its native area, but some botanists prefer to use the name Lawson cypress (or in very rare instances Port Orford cypress) instead. The name ""Lawson's cypress"" is widely used in horticulture.",Taxonomy,,Chamaecyparis,lawsoniana,,18
"The specific epithet stellata is Latin for ""star""; it is named this because the trichome hairs on the bottom of  the leaves are stellate or star-shaped. Several variants of Q. stellata were named by American botanist Charles Sprague Sargent. The variety most recognised by the United States Forest Service is Q. stellata var. paludosa Sarg (delta post oak).",Taxonomy,,Quercus,stellata,,18
"The striped maple is a small deciduous tree growing to 5–10 meters (16–33 ft) tall, with a trunk up to 20 cm (8 in) in diameter.
The shape of the tree is broadly columnar, with a short, forked trunk that divides into arching branches which create an uneven, flat-topped crown.
The young bark is striped with green and white, and when a little older, brown.The leaves are broad and soft, 8–15 cm (3–6 in) long and 6–12 cm (2.5–4.5 in) broad, with three shallow forward-pointing lobes.The fruit is a samara; the seeds are about 27 mm (1.1 in) long and 11 mm (0.43 in) broad, with a wing angle of 145° and a conspicuously veined pedicel.The bloom period for Acer pensylvanicum is around late spring.The spelling pensylvanicum is the one originally used by Linnaeus.
Small, finger-diameter sections of branches can be used to make whistles due to the ability to lightly bruise the bark, slip it off the wood, carve the whistle hollow and airflow channel into the wood, and slip the tube of bark back on.",Description,,Acer,pensylvanicum,,5
"The subspecies of P. ponderosa can be distinguished by measurements along several dimensions:: 23–24 : 17 
Notes
Names of taxa and transition zones are on the map.
Numbers in columns were derived from multiple measurements of samples taken from 10 (infrequently fewer) trees on a varying number of geographically dispersed plots.
Numbers in each cell show calculated mean ± standard error and number of plots.",Hybrids,,Pinus,ponderosa,,9
"The sugar maple is an extremely important species to the ecology of many forests in the northern United States and Canada. Pure stands are common, and it is a major component of the northern and Midwestern U.S. hardwood forests. Due to its need for cold winters, sugar maple is mostly found north of the 42nd parallel in USDA growing zones 3–5. It is less common in the southern part of its range (USDA Zone 6) where summers are hot and humid; there sugar maple is confined to ravines and moist flatlands. In the east, from Maryland southward, it is limited to the Appalachians. In the west, Tennessee represents the southern limit of its range and Missouri its southwestern limit. Collection of sap for sugar is also not possible in the southern part of sugar maple's range as winter temperatures do not become cold enough.
The minimum seed-bearing age of sugar maple is about 30 years. The tree is long-lived, typically 200 years and occasionally as much as 300.
Sugar maple is native to areas with cooler climates and requires a hard freeze each winter for proper dormancy. In northern parts of its range, January temperatures average about −18 °C (0 °F) and July temperatures about 16 °C (61 °F); in southern parts, January temperatures average about 10 °C (50 °F) and July temperatures average almost 27 °C (81 °F). Seed germination also requires extremely low temperatures, the optimal being just slightly above freezing, and no other known tree species has this property. Germination of sugar maple seed in temperatures above 50 °F (10 °C) is rare to nonexistent.
Acer saccharum is among the most shade tolerant of large deciduous trees. Its shade tolerance is exceeded only by the striped maple, a smaller tree. Like other maples, its shade tolerance is manifested in its ability to germinate and persist under a closed canopy as an understory plant, and respond with rapid growth to the increased light formed by a gap in the canopy. Sugar maple can tolerate virtually any soil type short of pure sand, but does not tolerate xeric or swampy conditions.
Sugar maples are deeper-rooted than most maples and engage in hydraulic lift, drawing water from lower soil layers and exuding that water into upper, drier soil layers. This not only benefits the tree itself, but also many other plants growing around it.

Human influences have contributed to the decline of the sugar maple in many regions. Its role as a species of mature forests has led it to be replaced by more opportunistic species in areas where forests are cut over. The sugar maple also exhibits a greater susceptibility to pollution than other species of maple. Acid rain and soil acidification are some of the primary contributing factors to maple decline. Also, the increased use of salt over the last several decades on streets and roads for deicing purposes has decimated the sugar maple's role as a street tree. The mushroom Pholiota squarrosoides is known to decay the logs of the tree.In some parts of New England, particularly near urbanized areas, the sugar maple is being displaced by the Norway maple. The Norway maple is also highly shade tolerant, but is considerably more tolerant of urban conditions, resulting in the sugar maple's replacement in those areas. In addition, Norway maple produces much larger crops of seeds, allowing it to out-compete native species.",Ecology,,Acer,saccharum,,6
"The sugar maple is one of the most important Canadian trees, being, with the black maple, the major source of sap for making maple syrup. Other maple species can be used as a sap source for maple syrup, but some have lower sugar content and/or produce more cloudy syrup than these two. In maple syrup production from Acer saccharum, the sap is extracted from the trees using a tap placed into a hole drilled through the phloem, just inside the bark. The collected sap is then boiled. As the sap boils, the water evaporates and the syrup is left behind. Forty gallons of maple sap produces 1 gallon of syrup. In the southern part of their range, sugar maples produce little sap; syrup production is dependent on the tree growing in cooler climates.The seeds can be soaked, and—with their wings removed—boiled, seasoned, and roasted to make them edible. The young leaves and inner bark can be eaten raw or cooked.",Special Uses,,Acer,saccharum,,16
"The sugar pine is the tallest and largest Pinus species, commonly growing to 40–60 meters (130–195 ft) tall, exceptionally to 82 m (269 ft) tall, with a trunk diameter of 1.2–2.5 m (3 ft 11 in – 8 ft 2 in), exceptionally 3.5 m (11 ft 6 in). The tallest recorded specimen is 83.45 m (273 ft 9 in) tall, is located in Yosemite National Park, and was discovered in 2015. The second tallest recorded was ""Yosemite Giant"", an 82.05 m (269 ft 2 in) tall specimen in Yosemite National Park, which died from a bark beetle attack in 2007. The tallest known living specimens today grow in southern Oregon and Yosemite National Park: one in Umpqua National Forest is 77.7 m (254 ft 11 in) tall and another in Siskiyou National Forest is 77.2 m (253 ft 3 in) tall. Yosemite National Park also has the third tallest, measured to 80.5 m (264 ft 1 in) tall as of June 2013; the Rim Fire affected this specimen, but it survived.

The bark of Pinus lambertiana ranges from brown to purple in color and is 5–10 centimeters (2–4 in) thick. The upper branches can reach out over 8 m (26 ft). Like all members of the white pine group (Pinus subgenus Strobus), the leaves (""needles"") grow in fascicles (""bundles"") of five, with a deciduous sheath. They are 5–11 cm (2–4+1⁄4 in) long. Sugar pine is notable for having the longest cones of any conifer, mostly 10–50 cm (4–19+3⁄4 in) long, exceptionally to 60 cm (23+1⁄2 in) long (although the cones of the Coulter pine are more massive); their unripe weight of 1–2 kilograms (2.2–4.4 lb) makes them perilous projectiles when chewed off by squirrels. The seeds are 1–2 cm (1⁄2–3⁄4 in) long, with a 2–3-centimeter (3⁄4–1+1⁄4-inch) long wing that aids their dispersal by wind. Sugar pine never grows in pure stands, always in a mixed forest and is shade tolerant in youth.",Sapling and Pole Stages to Maturity,,Pinus,lambertiana,,14
"The sugar pine occurs in the mountains of Oregon and California in the Western United States, and Baja California in northwestern Mexico; specifically the Cascade Range, Sierra Nevada, Coast Ranges, and Sierra San Pedro Martir. It is generally more abundant towards the south and can be found growing in elevations between 500 and 1,500 m (1,600 and 4,900 ft) above sea level.",Native Range,,Pinus,lambertiana,,11
"The swamp chestnut oak closely resembles the chestnut oak (Quercus montana), and for that reason has sometimes been treated as a variety of that species. However, the swamp chestnut oak is a larger tree which differs in preferred habitat, and the bark does not have the distinctive deep, rugged ridging of the chestnut oak, being thinner, scaly, and paler gray. It typically grows to around 65 ft (20 m) tall, though the tallest specimen currently known is over 150 ft (42 m) tall.
The name Q. prinus was long used by many botanists and foresters for the swamp chestnut oak, even when treated as a species distinct from the chestnut oak, which was then called Q. montana, but the application of the name Q. prinus to the chestnut oak is now often accepted, although sometimes that name is declared to be of uncertain position, unassignable to either species, with the chestnut oak then called Q. montana, as in the Flora of North America.",Taxonomy,,Quercus,michauxii,,18
"The sweet fruit pulp of the fan palm is edible. The fruit was eaten raw, cooked, or ground into flour for cakes by Native Americans. The Cahuilla and related tribes used the leaves to make sandals, roof thatch, and baskets. The woody petioles were used to make cooking utensils. The Moapa band of Paiutes and other Southern Paiute people have written memories of using this palm's seed, fruit, or leaves for various purposes, including as famine food. The bud (known as heart of palm) has also been eaten.",Special Uses,,Washingtonia,filifera,,16
The sweetish sap is used in western North America to make maple sugar.,Special Uses,,Acer,grandidentatum,,16
"The tamarack has thin bark and is therefore highly susceptible to fire damage, except perhaps in older, upland stands. However, the habitat of tamarack, especially south of the boreal forest, is normally wet enough to protect the tree from fire. The tamarack is also susceptible to high winds. Strong winds can uproot large tamarack trees growing in swamps or other wet-land sites where rooting is shallow. It has also been discovered that abnormally high water levels often kill tamarack stands. Those that survive under such conditions usually grow very slowly. Other effects of high water include dieback and the development of adventitious roots and shoots. Wetland road crossings and beaver damming are the primary causes of flooding.
Many insect species are known to be destructive to tamaracks. The non-indigenous larch sawfly is the most destructive. Epidemics occur periodically across Canada and the northern United States and have caused tremendous losses of merchantable tamarack throughout most of the tree's range. Indications are that radial increment declines markedly after 4 to 6 years of outbreak. After 6 to 9 years of moderate to heavy defoliation, the trees die. In southeastern Manitoba and northern Minnesota, however, imported parasites of the sawfly have become established and should reduce the frequency and duration of future outbreaks. Another serious defoliator is the larch casebearer Coleophora laricella. The larch casebearer attacks tamarack of all ages, and several severe outbreaks have caused extensive mortality in some areas. Outbreak severity has lessened in recent years, however, probably due to imported parasites of the casebearer that have become widely established.
Only a few other insects and related organisms (such as mites) that feed on tamarack are known to sometimes cause serious injury. During an outbreak, the spruce budworm (Choristoneura fumiferana) can severely damage tamarack. The larch-bud moth (Zeiraphera improbana) has had occasional short epidemics, and the spruce spider mite (Oligonychus ununguis) is occasionally found in large numbers on tamarack. The larch-shoot moth (Argyresthia laricella) is widely distributed, but serious injury is unusual. One of the most common bark beetles attacking tamarack is the eastern larch beetle (Dendroctonus simplex), but it feeds mainly on weakened, dying, or dead trees.
Tamarack is a host to many pathogens, but only one cause diseases serious enough to have an economic impact on its culture, the Lachnellula willkommii fungus. It is a relatively new pathogen in Canada, first recorded in 1980 and originating in Europe. The fungus cause large cankers to form and a disease known as larch canker which is particularly harmful to the tamarack larch, killing both young and mature trees. Apart from this, the only common foliage diseases are rusts, such as the leaf rust in eastern and central North America. However, this rust, caused by the fungus Melampsora medusae, and other rusts do little damage to tamarack. The needle-cast fungus Hypodermella laricis has attacked tamarack in Ontario and has the potential for local damage.",Threats,,Larix,laricina,,19
"The taxonomy and naming of the American species is confused and extensively disputed. The first dispute is over the exact identity of the specimen first named by Linnaeus as H. carolina; some contend that it is the same as H. parviflora, while others say it is the same as H. tetraptera. The second dispute is over whether H. monticola is sufficiently distinct from the other species to merit specific recognition or not (with its varietal placing depending on the above question, too). Neither question has yet been conclusively answered. The treatment here includes both H. carolina (small) and H. monticola (large).
A phylogenetic study suggests that Halesia is not monophyletic and as a result, the Chinese species Halesia macgregorii has been transferred into a new genus Perkinsiodendron, named after American botanist and Styracaceae expert Janet Russell Perkins.The genus was named after Stephen Hales by John Ellis, publishing the name in the tenth edition of Linnaeus's Systema Naturae in 1759. The name is conserved as the same name had been used in an obscure earlier publication in 1756 for a different plant.",Taxonomy,,Halesia,,,18
The Tecate cypress is the only plant on which the rare Thorne's Hairstreak (Callophrys gryneus thornei) lays its eggs.,Ecology,,Cupressus,forbesii,,6
